album,info,score,judge,img-url,cover-file
Who You Are Is Not Enough,Athletics / 2012-06-26 / EP / 数字(Digital) / 摇滚,9.2,2571人评价,https://img1.doubanio.com/view/subject/s/public/s10419467.jpg,Who You Are Is Not Enough.jpg
泳客,仙童 / 2019-03-08 / EP / CD / 摇滚,8.0,186人评价,https://img1.doubanio.com/view/subject/s/public/s31470879.jpg,泳客.jpg
看不見的城市,惘聞 / 2018-09-21 / 专辑 / CD / 摇滚,8.4,3287人评价,https://img3.doubanio.com/view/subject/s/public/s29808194.jpg,看不見的城市.jpg
八匹马,惘闻 / 2014-06-03 / 专辑 / CD / 摇滚,8.4,4178人评价,https://img3.doubanio.com/view/subject/s/public/s27298005.jpg,八匹马.jpg
The Earth Is Not a Cold Dead Place,Explosions in the Sky / 2004 / Import / Audio CD / 摇滚,8.8,9789人评价,https://img3.doubanio.com/view/subject/s/public/s2788703.jpg,The Earth Is Not a Cold Dead Place.jpg
AM,"AMnesiac,安尼西亚 / 2019-06-24 / EP / 摇滚",8.2,98人评价,https://img3.doubanio.com/view/subject/s/public/s33315564.jpg,AM.jpg
0.7,惘闻 / 2012-06-08 / 专辑 / CD / 摇滚,8.9,4750人评价,https://img1.doubanio.com/view/subject/s/public/s9093647.jpg,0.7.jpg
彩虹山Rainbow Mountain,"Sparrow,文雀 / 2012-12-07 / 专辑 / CD / 摇滚",8.4,2238人评价,https://img3.doubanio.com/view/subject/s/public/s22893531.jpg,彩虹山Rainbow Mountain.jpg
大象席地而坐An Elephant Sitting Still,花伦 / 2018-11-10 / 专辑 / 黑胶 / 原声,9.1,1690人评价,https://img3.doubanio.com/view/subject/s/public/s29930023.jpg,大象席地而坐An Elephant Sitting Still.jpg
枝桠,怪人房间 / 2018-12-21 / 专辑 / CD / 摇滚,8.2,66人评价,https://img3.doubanio.com/view/subject/s/public/s29964816.jpg,枝桠.jpg
无穹,惘闻 / 2019-02-22 / 单曲 / 数字(Digital) / 摇滚,8.4,582人评价,https://img3.doubanio.com/view/subject/s/public/s30010944.jpg,无穹.jpg
荒野星,发光曲线 / 2019-04-29 / 专辑 / CD / 摇滚,8.2,297人评价,https://img3.doubanio.com/view/subject/s/public/s33312586.jpg,荒野星.jpg
The Journey Studies,The Seven Mile Journey / 2006-02-06 / 专辑 / Audio CD / 摇滚,9.0,4396人评价,https://img3.doubanio.com/view/subject/s/public/s9074760.jpg,The Journey Studies.jpg
"岁月鸿沟Sweet Home, Go",惘闻 / 2016-04-18 / 专辑 / CD / 摇滚,8.2,3226人评价,https://img1.doubanio.com/view/subject/s/public/s28637007.jpg,"岁月鸿沟Sweet Home, Go.jpg"
"All Is Violent, All Is Bright",God Is an Astronaut / 2005 / 专辑 / Audio CD / 摇滚,8.9,6549人评价,https://img3.doubanio.com/view/subject/s/public/s1798062.jpg,"All Is Violent, All Is Bright.jpg"
迷航Dedicate To Mind,"发光曲线,Glow Curve / 2013-09-26 / 专辑 / CD / 摇滚",7.9,1353人评价,https://img3.doubanio.com/view/subject/s/public/s27062036.jpg,迷航Dedicate To Mind.jpg
宿醉之星Drunk Star,琥珀 / 2011-05-28 / EP / CD / 摇滚,8.5,1361人评价,https://img1.doubanio.com/view/subject/s/public/s6389558.jpg,宿醉之星Drunk Star.jpg
Yui,Childs / 2006 / 专辑 / Audio CD / 摇滚,8.9,12806人评价,https://img3.doubanio.com/view/subject/s/public/s2850716.jpg,Yui.jpg
宇宙尽头的餐馆,仙童 / 2016-07-01 / 单曲 / 数字(Digital),8.6,261人评价,https://img3.doubanio.com/view/subject/s/public/s29649793.jpg,宇宙尽头的餐馆.jpg
大雁,文雀 / 2015-05-06 / 单曲 / 数字(Digital) / 摇滚,8.7,698人评价,https://img3.doubanio.com/view/subject/s/public/s28067481.jpg,大雁.jpg
